age,no_of_children,net_yearly_income,no_of_days_employed,total_family_members,migrant_worker,yearly_debt_payments,credit_limit,credit_limit_used(%),credit_score,prev_defaults,default_in_last_6months,gender_F,gender_M,gender_XNA,owns_car_N,owns_car_Y,owns_house_N,owns_house_Y,occupation_type_Accountants,occupation_type_Cleaning staff,occupation_type_Cooking staff,occupation_type_Core staff,occupation_type_Drivers,occupation_type_HR staff,occupation_type_High skill tech staff,occupation_type_IT staff,occupation_type_Laborers,occupation_type_Low-skill Laborers,occupation_type_Managers,occupation_type_Medicine staff,occupation_type_Private service staff,occupation_type_Realty agents,occupation_type_Sales staff,occupation_type_Secretaries,occupation_type_Security staff,occupation_type_Unknown,occupation_type_Waiters/barmen staff,credit_card_default
31,1.0,215419.48,2298.0,3.0,0.0,59971.34,37247.15,99,663.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
42,0.0,143550.87,124.0,2.0,0.0,12161.66,31993.72,27,881.0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
31,0.0,336067.71,365248.0,2.0,0.0,47934.05,77277.78,53,940.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
43,0.0,264762.69,1121.0,2.0,0.0,27355.65,73784.91,72,604.0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
38,0.0,135773.72,903.0,1.0,0.0,16710.25,15271.44,21,867.0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0.0,152560.6,9966.0,2.0,1.0,36512.47,42610.52,69,804.0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
39,0.0,142822.53,2743.0,2.0,0.0,12721.51,30479.47,89,766.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
33,0.0,271373.33,2593.0,2.0,0.0,43361.55,35114.09,52,937.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
46,0.0,176854.63,10224.0,2.0,0.0,38001.16,61093.38,60,910.0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0.0,198343.66,1787.0,2.0,0.0,38786.61,35982.54,33,730.0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24,2.0,162465.89,4592.0,4.0,0.0,44943.39,20028.67,96,535.0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44,0.0,125051.32,6499.0,2.0,0.0,9762.9,16552.9,97,786.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
53,0.0,1056487.87,3241.0,2.0,0.0,127244.35,138939.39,24,857.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
23,1.0,313976.12,3388.0,3.0,0.0,56644.15,37116.23,39,831.0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0.0,202011.69,2224.0,1.0,0.0,40696.6,40114.09,41,822.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
51,0.0,249664.38,943.0,1.0,0.0,28983.06,87322.27,26,691.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
